Topic,Difficulty,ID,Title,Acceptance %,Frequency %,URL,Intuition
Array,Easy,1,Two Sum,57.5%,50.0%,https://leetcode.com/problems/two-sum,Hash map to store complements
Array,Easy,26,Remove Duplicates from Sorted Array,62.8%,25.0%,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Two pointers in sorted array
Array,Easy,88,Merge Sorted Array,54.9%,37.5%,https://leetcode.com/problems/merge-sorted-array,Merge from end to avoid overwriting
Array,Easy,268,Missing Number,72.0%,25.0%,https://leetcode.com/problems/missing-number,XOR or sum formula
Array,Easy,283,Move Zeroes,63.8%,37.5%,https://leetcode.com/problems/move-zeroes,Two pointer to maintain relative order
Array,Easy,414,Third Maximum Number,39.4%,37.5%,https://leetcode.com/problems/third-maximum-number,Track three max values
Array,Easy,724,Find Pivot Index,62.7%,25.0%,https://leetcode.com/problems/find-pivot-index,Prefix sum technique
Array,Easy,1752,Check if Array Is Sorted and Rotated,57.2%,25.0%,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check rotation point
Array,Easy,2154,Keep Multiplying Found Values by Two,75.0%,50.0%,https://leetcode.com/problems/keep-multiplying-found-values-by-two,Simulation with hash set
Array,Medium,2,Add Two Numbers,48.5%,37.5%,https://leetcode.com/problems/add-two-numbers,Carry propagation
Array,Medium,15,3Sum,39.1%,37.5%,https://leetcode.com/problems/3sum,Sort + two pointer
Array,Medium,31,Next Permutation,45.3%,25.0%,https://leetcode.com/problems/next-permutation,Find rightmost smaller element
Array,Medium,33,Search in Rotated Sorted Array,44.9%,62.5%,https://leetcode.com/problems/search-in-rotated-sorted-array,Modified binary search
Array,Medium,48,Rotate Image,80.1%,25.0%,https://leetcode.com/problems/rotate-image,Transpose then reverse
Array,Medium,53,Maximum Subarray,53.3%,50.0%,https://leetcode.com/problems/maximum-subarray,Kadane's algorithm
Array,Medium,54,Spiral Matrix,56.8%,37.5%,https://leetcode.com/problems/spiral-matrix,Simulate spiral pattern
Array,Medium,59,Spiral Matrix II,75.1%,25.0%,https://leetcode.com/problems/spiral-matrix-ii,Generate spiral pattern
Array,Medium,73,Set Matrix Zeroes,62.9%,37.5%,https://leetcode.com/problems/set-matrix-zeroes,Use first row/col as marker
